Item Name,SKU,Description,Usage unit
PUDDLE FLANGES 63 MM IN UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,LOT
PUDDLE FLANGES 75 MM IN UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,LOT
PUDDLE FLANGES 90 MM IN UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,LOT
PUDDLE FLANGES IN UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,LOT
PUMP 0.5 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
PUMP 1 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
PUMP 1.5 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
PUMP 10 H.P  MAKE: KSB (GERMANY),,MAKE: KSB (GERMANY),NOS
PUMP 10 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
PUMP 12.5 H.P  MAKE: KSB (GERMANY),,MAKE: KSB (GERMANY),NOS
PUMP 2 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",PCS
PUMP 3 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
PUMP 4 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
PUMP 5 H.P  MAKE: KSB (GERMANY),,MAKE: KSB (GERMANY),NOS
PUMP 7.5 H.P  MAKE: KSB (GERMANY),,MAKE: KSB (GERMANY),NOS
PUMPS 1 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
PUMPS 1 HP MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
PUMPS 10 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
PUMPS 10 HP MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
PUMPS 2 HP MAKE : PENTAIR,,"MAKE: PENTAIR
",PCS
PUMPS 2 HP MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
PUMPS 3 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
PUMPS 3 HP MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
PUMPS 5 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
PUMPS 5 HP MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
PUMPS 7.5 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
PUMPS 7.5 HP MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
PUMPS FOR WATER SPOUT 7.5 H.P MAKE: KSB (GERMANY),,MAKE: KSB (GERMANY),NOS
REDUCING BUSH 32 X 20 MM MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
REDUCING BUSH 50 X 32 MM MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
REDUCING BUSH 63 X 50 MM MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
REDUCING BUSH 75 X 50 MM MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
REDUCING BUSH 75 X 63 MM MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
REDUCING BUSH 90 X 50 MM MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
REMOTE CONTROL FOR LIGHT,,,NOS
RGBW MOOD LIGHT MAKE : MADE IN AUSTRALIA,,MAKE: MADE IN AUSTRALIA,NOS
ROLLER POOL COVER,,"MAKE: PENTAIR
",NOS
ROTA METER  MAKE: FLOW STAR,, MAKE: FLOW STAR,NOS
SAND MEDIA FOR FILTER,,,KGS
SMART CARBON  FILTER  MAKE : PENTAIR,, MAKE : PENTAIR,NOS
SMART WATER SOFTNING MAKE : PENTAIR,, MAKE : PENTAIR,NOS
SOLVENT CEMENT 100 ML,,,LTR
SPECIAL HEAT PUMP FOR JACUZZI 42 KW (12-15 HRS)  MAKE: WIBI,,"MAKE: WIBI
",NOS
SS OVERFLOW TROUGH 300 MM WIDE (SKIMMER) MAKE: WIBI,,"MAKE: WIBI
",NOS
"SS WATER SPOUT MAKE: WIBI SIZE: 8'-6""",,"MAKE: WIBI
",NOS
"SS WATER SPOUT MAKE: WIBI SIZE: 9""",,,NOS
SS-316 TROUGH WITH ANTIFLOW MECHANISM  MAKE: FABRICATED,,"MAKE: WIBI
",NOS
"STANDARD WALL BRUSH (18"") MAKE: PENTAIR",,"MAKE: PENTAIR
",NOS
STARTER CONTROL PANEL,,,NOS
STRAINER MAKE: AMBIKA /SAINT,,MAKE: AMBIKA /SAINT,NOS
SUCTION HEAD (350 MM) MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
SUMP PUMP 0.5 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
SUMP PUMP 1 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
SUMP PUMP 1.5 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
SUMP PUMP 10 H.P  MAKE: KSB (GERMANY),,"MAKE: KSB GERMANY
",NOS
SUMP PUMP 10 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
SUMP PUMP 12.5 H.P  MAKE: KSB (GERMANY),,"MAKE: KSB GERMANY
",NOS
SUMP PUMP 2 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",PCS
SUMP PUMP 3 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
SUMP PUMP 4 HP MAKE: KSB GERMANY,,"MAKE: KSB GERMANY
",NOS
SUMP PUMP  MAKE: KSB (GERMANY),,"MAKE: KSB GERMANY
",NOS
SUMP PUMP 5 H.P  MAKE: KSB (GERMANY),,"MAKE: KSB GERMANY
",NOS
SUMP PUMP 7.5 H.P  MAKE: KSB (GERMANY),,"MAKE: KSB GERMANY
",NOS
TEE 110 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
TEE 160 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
TEE 32 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
TEE 50 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
